"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"PIH","1347 Property Insurance Holdings, Inc.","6.7","$40.1M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih"
"PIHPP","1347 Property Insurance Holdings, Inc.","25.0202","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp"
"TURN","180 Degree Capital Corp.","1.83","$56.95M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn"
"FLWS","1-800 FLOWERS.COM, Inc.","12.75","$822.85M","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws"
"FCCY","1st Constitution Bancorp (NJ)","21.55","$180.3M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","52.84","$1.37B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","5.63","$629.89M","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","79.61","$4.2B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","83.76","$5.18B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","12","$949.12M","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","19.95","$1.84B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","19.25","$430.2M","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","43.05","$1.27B","1972","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","35.7","$1.87B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","73","$1.66B","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","17.65","$833.56M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","12.5","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","2.66","$6.85M","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","303.41","$13.43B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd"
